pa_s,poblac,densidad,urbana,relig,espvidaf,espvidam,alfabet,inc_pob,mortinf,pib_cap,regi_n,calor_as,sida,tasa_nat,tasa_mor,tasasida,log_pib,logtsida,nac_def,fertilid,log_pob,alfabmas,alfabfem,clima,region2
Acerbaján,7400,86,54,Musulma.,75,67,98,1.4,35,3000,5,,,23,7,,3.4771212547,,3.2857142857,2.8,3.8692317197,100,100,3,5
Afganistán,20500,25,18,Musulma.,44,45,29,2.8,168,205,3,,0,53,22,0,2.3117538611,0,2.4090909091,6.9,4.3117538611,44,14,3,3
Alemania,81200,227,85,Protest.,79,73,99,0.36,6.5,17539,1,3443,11179,11,11,13.767241379,4.2440048281,1.6895435293,1,1.47,4.9095560292,,,8,1
Arabia Saudí,18000,7.7,77,Musulma.,70,66,62,3.2,52,6651,5,2874,61,38,6,0.3388888889,3.8228869478,0.8053997046,6.3333333333,6.67,4.2552725051,73,48,1,5
Argentina,33900,12,86,Católica,75,68,95,1.3,25.6,3408,6,3113,3904,20,9,11.516224189,3.5324995861,1.6302793297,2.2222222222,2.8,4.5301996982,96,95,8,6
Armenia,3700,126,68,Ortodoxa,75,68,98,1.4,27,5000,5,,2,23,6,0.0540540541,3.6989700043,0.5579119379,3.8333333333,3.19,3.5682017241,100,100,,5
Australia,17800,2.3,85,Protest.,80,74,100,1.38,7.3,16848,1,3216,4727,15,8,26.556179775,4.2265483538,1.9267843936,1.875,1.9,4.2504200023,100,100,3,3
Austria,8000,94,58,Católica,79,73,99,0.2,6.7,18396,1,3495,1150,12,11,14.375,4.2647234009,1.7042039621,1.0909090909,1.5,3.903089987,,,8,1
Bahrein,600,828,83,Musulma.,74,71,77,2.4,25,7875,5,,13,29,4,2.1666666667,3.8962505625,1.1672353193,7.25,3.96,2.7781512504,55,55,3,5
Bangladesh,125000,800,16,Musulma.,53,53,35,2.4,106,202,3,2021,1,35,11,0.0008576329,2.3053513694,0.2435904681,3.1818181818,4.7,5.096910013,47,22,5,3
Barbados,256,605,45,Protest.,78,73,99,0.21,20.3,6950,6,,418,16,8.4,139.33333333,3.8419848046,2.6841761021,1.9047619048,1.78,2.4082399653,99,99,5,6
Bélgica,10100,329,96,Católica,79,73,99,0.2,7.2,17912,1,,1603,12,11,15.871287129,4.2531440806,1.7382907923,1.0909090909,1.7,4.0043213738,,,8,1
Bielorusia,10300,50,65,Ortodoxa,76,66,99,0.32,19,6500,2,,10,13,11,0.0970873786,3.8129133566,0.6272382797,1.1818181818,1.88,4.0128372247,100,100,8,2
Bolivia,7900,6.9,51,Católica,64,59,78,2.7,75,730,6,1916,87,34,9,1.1012658228,2.8633228601,1.0194793474,3.7777777778,4.21,3.8976270913,85,71,4,6
Bosnia,4600,87,36,Musulma.,78,72,86,0.7,12.7,3098,2,,,14,6.39,,3.4910814134,,2.1909233177,,3.6627578317,,,8,2
Botswana,1359,2.4,25,Tribal,66,60,72,2.7,39.3,2677,4,2375,1415,32,8,101.07142857,3.4276483712,2.5172461241,4,5.1,3.1332194567,32,16,4,4
Brasil,156600,18,75,Católica,67,57,81,1.28,66,2354,6,2751,49312,21,9,31.489144317,3.3718064585,1.9935731318,2.3333333333,2.7,5.1947917577,82,80,5,6
Bulgaria,8900,79,68,Ortodoxa,75,69,93,-0.2,12,3831,2,,24,13,12,0.2696629213,3.583312152,0.7694213748,1.0833333333,1.8,3.9493900066,,,8,2
Burkina Faso,10000,36,15,Animista,50,47,18,2.81,118,357,4,2288,4193,47,18,41.93,2.5526682161,2.1110813666,2.6111111111,6.94,4,28,9,5,4
Burundi,6000,216,5,Católica,50,46,50,2.26,105,208,4,1932,7225,44,21,120.41666667,2.318063335,2.6069777238,2.0952380952,6.8,3.7781512504,61,40,8,4
Camboya,10000,55,12,Budista,52,50,35,2.9,112,260,3,2166,0,45,16,0,2.414973348,0,2.8125,5.81,4,48,22,5,3
Camerún,13100,27,40,Animista,58,55,54,2.9,77,993,4,2217,3072,41,12,23.450381679,2.9969492485,1.8794465669,3.4166666667,5.7,4.1172712957,66,45,4,4
Canadá,29100,2.8,77,Católica,81,74,97,0.7,6.8,19904,1,3482,9511,14,8,32.683848797,4.298940363,2.0084759629,1.75,1.8,4.463892989,,,9,
Chile,14000,18,85,Católica,78,71,93,1.7,14.6,2591,6,2581,831,23,6,5.9357142857,3.413467413,1.4278894921,3.8333333333,2.5,4.1461280357,94,93,8,6
China,1205200,124,26,Taoista,69,67,78,1.1,52,377,3,2639,38,21,7,0.0031530037,2.5763413502,0.3160420679,3,1.84,6.081059123,87,68,8,3
Colombia,35600,31,70,Católica,75,69,87,2,28,1538,6,2598,4583,24,6,12.873595506,3.1869563355,1.6670167817,4,2.47,4.551449998,88,86,5,6
Corea del Norte,23100,189,60,Budista,73,67,99,1.83,27.7,1000,3,,0,24,5.5,0,3,0,4.3636363636,2.4,4.3636119799,99,99,8,3
Corea del Sur,45000,447,72,Protest.,74,68,96,1,21.7,6627,3,,19,16,6,0.0426966292,3.8213169706,0.5322047152,2.6666666667,1.65,4.6532125138,99,99,8,3
Costa Rica,3300,64,47,Católica,79,76,93,2.3,11,2031,6,2808,587,26,4,17.787878788,3.3077099234,1.7783810922,6.5,3.1,3.5185139399,93,93,5,6
Croacia,4900,85,51,Católica,77,70,97,-0.1,8.7,5487,2,,56,11,11,1.1428571429,3.7393349602,1.0270660871,1,1.65,3.69019608,,,6,2
Cuba,11100,99,74,Católica,78,74,94,0.95,10.2,1382,6,,245,17,7,2.2072072072,3.140508043,1.1715710219,2.4285714286,1.9,4.0453229788,95,93,5,6
Dinamarca,5200,120,85,Protest.,79,73,99,0.1,6.6,18277,1,3628,1411,12,12,27.134615385,4.2619049118,1.9351058864,1,1.7,3.7160033436,,,8,1
Ecuador,10700,39,56,Católica,73,67,88,2.01,39,1085,6,2531,381,26,6,3.3716814159,3.0354297382,1.275173581,4.3333333333,3.08,4.0293837777,90,86,5,6
